총 48개 trace replay 시작

[시작 전 prefix cache hits]
  hits: 0.0


  Turn 5: TTFT = 16.6 ms, hit rate = 67.0%
  Turn 6: TTFT = 17.3 ms, hit rate = 67.0%
  Turn 7: TTFT = 22.7 ms, hit rate = 67.0%
  Turn 8: TTFT = 22.9 ms, hit rate = 67.0%
  Turn 9: TTFT = 22.7 ms, hit rate = 67.0%
  Turn 10: TTFT = 23.4 ms, hit rate = 67.0%
  Turn 11: TTFT = 25.1 ms, hit rate = 67.0%
  Turn 12: TTFT = 25.9 ms, hit rate = 67.0%
  Turn 13: TTFT = 26.8 ms, hit rate = 67.0%
  Turn 14: TTFT = 27.5 ms, hit rate = 67.0%
  Turn 15: TTFT = 28.0 ms, hit rate = 67.0%
  Turn 16: TTFT = 27.7 ms, hit rate = 67.0%
  Turn 17: TTFT = 30.1 ms, hit rate = 67.0%
  Turn 18: TTFT = 31.2 ms, hit rate = 67.0%
  Turn 19: TTFT = 34.2 ms, hit rate = 67.0%
  Turn 20: TTFT = 35.7 ms, hit rate = 67.0%
  Turn 21: TTFT = 36.6 ms, hit rate = 67.0%
  Turn 22: TTFT = 37.7 ms, hit rate = 67.0%
  Turn 23: TTFT = 38.4 ms, hit rate = 67.0%
  Turn 24: TTFT = 38.4 ms, hit rate = 67.0%
  Turn 25: TTFT = 38.8 ms, hit rate = 67.0%
  Turn 26: TTFT = 39.6 ms, hit rate = 67.0%
  Turn 27: TTFT = 39.4 ms, hit rate = 67.0%
  Turn 28: TTFT = 42.4 ms, hit rate = 67.0%
  Turn 29: TTFT = 43.4 ms, hit rate = 67.0%
  Turn 30: TTFT = 43.5 ms, hit rate = 67.0%
  Turn 31: TTFT = 44.0 ms, hit rate = 67.0%
  Turn 32: TTFT = 45.4 ms, hit rate = 67.0%
  Turn 33: TTFT = 45.7 ms, hit rate = 67.0%
  Turn 34: TTFT = 46.9 ms, hit rate = 67.0%
  Turn 35: TTFT = 47.2 ms, hit rate = 67.0%
  세션 평균 TTFT: 31.5 ms, 최종 hit rate = 67.0%

====== django__django-15819_run1 (37턴) ======
  Turn 1: TTFT = 18.1 ms, hit rate = 68.9%
  Turn 2: TTFT = 13.4 ms, hit rate = 68.9%
  Turn 3: TTFT = 11.9 ms, hit rate = 68.9%
  Turn 4: TTFT = 17.0 ms, hit rate = 68.9%
  Turn 5: TTFT = 17.2 ms, hit rate = 68.9%
  Turn 6: TTFT = 17.7 ms, hit rate = 68.9%
  Turn 7: TTFT = 16.3 ms, hit rate = 68.9%
  Turn 8: TTFT = 18.1 ms, hit rate = 68.9%
  Turn 9: TTFT = 21.0 ms, hit rate = 68.9%
  Turn 10: TTFT = 26.2 ms, hit rate = 68.9%
  Turn 11: TTFT = 23.9 ms, hit rate = 68.9%
  Turn 12: TTFT = 27.4 ms, hit rate = 68.9%
  Turn 13: TTFT = 27.4 ms, hit rate = 68.9%
  Turn 14: TTFT = 27.5 ms, hit rate = 68.9%
  Turn 15: TTFT = 28.2 ms, hit rate = 68.9%
  Turn 16: TTFT = 28.7 ms, hit rate = 68.9%
  Turn 17: TTFT = 29.8 ms, hit rate = 68.9%
  Turn 18: TTFT = 30.4 ms, hit rate = 68.9%
  Turn 19: TTFT = 31.0 ms, hit rate = 68.9%
  Turn 20: TTFT = 31.3 ms, hit rate = 68.9%
  Turn 21: TTFT = 33.5 ms, hit rate = 68.9%
  Turn 22: TTFT = 34.7 ms, hit rate = 68.9%
  Turn 23: TTFT = 35.8 ms, hit rate = 68.9%
  Turn 24: TTFT = 35.8 ms, hit rate = 68.9%
  Turn 25: TTFT = 36.9 ms, hit rate = 68.9%
  Turn 26: TTFT = 37.5 ms, hit rate = 68.9%
  Turn 27: TTFT = 38.1 ms, hit rate = 68.9%
  Turn 28: TTFT = 39.1 ms, hit rate = 68.9%
  Turn 29: TTFT = 39.0 ms, hit rate = 68.9%
  Turn 30: TTFT = 40.6 ms, hit rate = 68.9%
  Turn 31: TTFT = 40.1 ms, hit rate = 68.9%
  Turn 32: TTFT = 43.2 ms, hit rate = 68.9%
  Turn 33: TTFT = 42.2 ms, hit rate = 68.9%
  Turn 34: TTFT = 42.4 ms, hit rate = 68.9%
  Turn 35: TTFT = 42.6 ms, hit rate = 68.9%
  Turn 36: TTFT = 46.8 ms, hit rate = 68.9%
  Turn 37: TTFT = 42.8 ms, hit rate = 68.9%
  세션 평균 TTFT: 30.6 ms, 최종 hit rate = 68.9%

====== matplotlib__matplotlib-23563_run1 (28턴) ======
  Turn 1: TTFT = 25.6 ms, hit rate = 68.7%
  Turn 2: TTFT = 14.1 ms, hit rate = 68.7%
  Turn 3: TTFT = 13.6 ms, hit rate = 68.7%
  Turn 4: TTFT = 20.5 ms, hit rate = 68.7%
  Turn 5: TTFT = 22.4 ms, hit rate = 68.7%
  Turn 6: TTFT = 22.6 ms, hit rate = 68.7%
  Turn 7: TTFT = 23.0 ms, hit rate = 68.7%
  Turn 8: TTFT = 23.6 ms, hit rate = 68.7%
  Turn 9: TTFT = 24.6 ms, hit rate = 68.7%
  Turn 10: TTFT = 24.8 ms, hit rate = 68.7%
  Turn 11: TTFT = 24.9 ms, hit rate = 68.7%
  Turn 12: TTFT = 25.0 ms, hit rate = 68.7%
  Turn 13: TTFT = 25.7 ms, hit rate = 68.7%
  Turn 14: TTFT = 25.5 ms, hit rate = 68.7%
  Turn 15: TTFT = 26.7 ms, hit rate = 68.7%
  Turn 16: TTFT = 28.0 ms, hit rate = 68.7%
  Turn 17: TTFT = 28.0 ms, hit rate = 68.7%
